clip_id,source_id,clip_index,genre,dialect_region,url,window_start,window_end,clip_start_in_video,clip_end_in_video
news_01__clip0000.wav,news_01,0,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:00:30,00:00:45
news_01__clip0001.wav,news_01,1,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:00:45,00:01:00
news_01__clip0002.wav,news_01,2,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:01:00,00:01:15
news_01__clip0003.wav,news_01,3,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:01:15,00:01:30
news_01__clip0004.wav,news_01,4,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:01:30,00:01:45
news_01__clip0005.wav,news_01,5,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:01:45,00:02:00
news_01__clip0006.wav,news_01,6,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:02:00,00:02:15
news_01__clip0007.wav,news_01,7,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:02:15,00:02:30
news_01__clip0008.wav,news_01,8,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:02:30,00:02:45
news_01__clip0009.wav,news_01,9,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:02:45,00:03:00
news_01__clip0010.wav,news_01,10,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:03:00,00:03:15
news_01__clip0011.wav,news_01,11,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:03:15,00:03:30
news_01__clip0012.wav,news_01,12,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:03:30,00:03:45
news_01__clip0013.wav,news_01,13,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:03:45,00:04:00
news_01__clip0014.wav,news_01,14,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:04:00,00:04:15
news_01__clip0015.wav,news_01,15,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:04:15,00:04:30
news_01__clip0016.wav,news_01,16,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:04:30,00:04:45
news_01__clip0017.wav,news_01,17,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:04:45,00:05:00
news_01__clip0018.wav,news_01,18,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:05:00,00:05:15
news_01__clip0019.wav,news_01,19,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:05:15,00:05:30
news_01__clip0020.wav,news_01,20,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:05:30,00:05:45
news_01__clip0021.wav,news_01,21,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:05:45,00:06:00
news_01__clip0022.wav,news_01,22,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:06:00,00:06:15
news_01__clip0023.wav,news_01,23,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:06:15,00:06:30
news_01__clip0024.wav,news_01,24,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:06:30,00:06:45
news_01__clip0025.wav,news_01,25,news,MSA,https://www.youtube.com/watch?v=TXmeVPZvKq8,00:00:30,00:10:30,00:06:45,00:07:00
news_02__clip0000.wav,news_02,0,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:00:30,00:00:45
news_02__clip0001.wav,news_02,1,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:00:45,00:01:00
news_02__clip0002.wav,news_02,2,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:01:00,00:01:15
news_02__clip0003.wav,news_02,3,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:01:15,00:01:30
news_02__clip0004.wav,news_02,4,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:01:30,00:01:45
news_02__clip0005.wav,news_02,5,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:01:45,00:02:00
news_02__clip0006.wav,news_02,6,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:02:00,00:02:15
news_02__clip0007.wav,news_02,7,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:02:15,00:02:30
news_02__clip0008.wav,news_02,8,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:02:30,00:02:45
news_02__clip0009.wav,news_02,9,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:02:45,00:03:00
news_02__clip0010.wav,news_02,10,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:03:00,00:03:15
news_02__clip0011.wav,news_02,11,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:03:15,00:03:30
news_02__clip0012.wav,news_02,12,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:03:30,00:03:45
news_02__clip0013.wav,news_02,13,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:03:45,00:04:00
news_02__clip0014.wav,news_02,14,news,MSA,https://www.youtube.com/watch?v=mRP5nzHRFvQ,00:00:30,00:10:30,00:04:00,00:04:15
