filename,url,genre,subgenre,source_label,dialect_region,start_time,end_time,expected_aldi,notes
news_01.wav,https://www.youtube.com/watch?v=TXmeVPZvKq8,news,news,BBC Arabic 1,MSA,00:00:30,00:10:30,low,Formal broadcast news
news_02.wav,https://www.youtube.com/watch?v=mRP5nzHRFvQ,news,news,Al Jazeera Arabic 1,MSA,00:00:30,00:10:30,low,Formal broadcast news
news_03.wav,https://www.youtube.com/watch?v=rjNAnL_Qfe4,news,news,BBC Arabic 2,MSA,00:00:30,00:10:30,low,Formal broadcast news
news_04.wav,https://www.youtube.com/watch?v=O_sq3kuVx9I,news,news,Al Jazeera Arabic 2,MSA,00:00:30,00:10:30,low,Formal broadcast news
religious_01.wav,https://youtu.be/NBEmiMVt_eA?si=qbf4BtiHxAsbyCGq,religious,religious,Religious clip 1,Formal recited register,00:00:30,00:10:30,very_low,Religious or recited register
religious_02.wav,https://youtu.be/2Kp_TeO0KpA?si=oW8EwQk4_bO4uNIF,religious,religious,Religious clip 2,Formal recited register,00:00:30,00:10:30,very_low,Religious or recited register
religious_03.wav,https://youtu.be/tXdOF6zn0sQ?si=ZlZSJtY-tiQYdnXi,religious,religious,Religious clip 3,Formal recited register,00:00:30,00:10:30,very_low,Religious or recited register
drama_01.wav,https://youtu.be/Savl4tXOetM?si=piEWWhAa0fId4iKA,drama,tv_drama,Layali Roxy,Levantine,00:00:30,00:10:30,medium,Scripted drama dialogue
drama_02.wav,https://youtu.be/BhKkurOzfUE?si=MLN2OXqsk1kfWXmH,drama,tv_drama,Al Yateem,Gulf,00:00:30,00:10:30,medium,Scripted drama dialogue
drama_03.wav,https://www.youtube.com/watch?v=_9LHd93WxS8,drama,tv_drama,Kuwaiti drama,Kuwaiti,00:00:30,00:10:30,medium,Scripted drama dialogue
drama_04.wav,https://youtu.be/q21lZnAVRuM?si=BNQ_115WLvXjo7-W,drama,tv_drama,Saudi drama,Saudi,00:00:30,00:10:30,medium,Scripted drama dialogue
drama_05.wav,https://www.youtube.com/watch?v=CVdgG9EeR8A&list=PLj133TOhaCmeDhukjUGta7PlJQ2lguo24&index=4,drama,tv_drama,Egyptian drama,Egyptian,00:00:30,00:10:30,medium,Scripted drama dialogue
talkshow_01.wav,https://youtu.be/BfnJ-be4a8Y?si=XOAP821p66-6fsBe,talkshow,talk_show,Saudi talk show,Saudi,00:00:30,00:10:30,medium_high,Conversational studio speech
talkshow_02.wav,https://www.youtube.com/watch?v=lTQrCEji3kY,talkshow,talk_show,Lebanese talk show,Lebanese,00:00:30,00:10:30,medium_high,Conversational studio speech
talkshow_03.wav,https://www.youtube.com/watch?v=v0OBx-YTpaU&list=PLj5BGX9byu2ZwKCCAkqZbkeHekgOlhpO7&index=3,talkshow,talk_show,Jordanian talk show,Jordanian,00:00:30,00:10:30,medium_high,Conversational studio speech
talkshow_04.wav,https://www.youtube.com/watch?v=DWtbJv5VK9U,talkshow,talk_show,Moroccan talk show,Moroccan,00:00:30,00:10:30,medium_high,Conversational studio speech
